NEName,,SiteCode,SiteName,Vendor,Suffix,SiteCategory,Powertype,Area,Office,SiteSeverity
10916,LTE,0828UP,U_G_0828UP_6OCT-SUN-CITY,Huawei,G,Normal,Main Power,Cairo West,October,Silver
10779,LTE,3634UP,U_G_3634UP_6OCT-ARAB-MALL,Huawei,G,Normal,Main Power,Cairo West,October,Silver
10918,LTE,0919UP,U_G_0919UP_6OCT-SYAHIA-6,Huawei,G,Normal,Main Power,Cairo West,October,Silver
10946,LTE,1014UP,U_S_1014UP_I-6OCT-NOVOTEL,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10447,LTE,1051UP,U_S_1051UP_6OCT-I-MLARBIA,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10573,LTE,0052UP,U_W_0052UP_6OCT-RSD,Huawei,W,VIP & NODAL,Main Power,Cairo West,October,Golden
10572,LTE,0564UP,U_S_0564UP_OCT-CLUB,Huawei,S,Normal,Main Power,Cairo West,October,Silver
10837,LTE,0183UP,U_C_0183UP_DREAM-PARK,Huawei,C,VIP,Main Power,Cairo West,October,Silver
10625,LTE,0667UP,U_G_0667UP_WT-RAWDA,Huawei,G,Normal,Main Power,Cairo West,October,Golden
10839,LTE,0902UP,U_C_0902UP_6OCT-DREAM-4,Huawei,C,VIP,Main Power,Cairo West,October,Silver
10838,LTE,0726UP,U_G_0726UP_DREAM-LAND-3,Huawei,G,Normal,Main Power,Cairo West,October,Silver
10970,LTE,3257UP,U_G_3257UP_6OCT-GARDENIA2,Huawei,G,Normal,Main Power,Cairo West,October,Bronze
10828,LTE,0383UP,U_S_0383UP_ADHAM,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10840,LTE,3730UP,U_G_3730UP_6OCT-DREAM-7,Huawei,G,Normal,Main Power,Cairo West,October,Silver
10842,LTE,3253UP,U_S_3253UP_6OCT-DREAM-5,Huawei,S,Normal,Main Power,Cairo West,October,Silver
10844,LTE,0006UP,U_A_0006UP_6OCT-FAYOUM,Huawei,A,VIP & NODAL,Main Power,Cairo West,October,Golden
10845,LTE,0358UP,U_C_0358UP_ASHGAR,Huawei,C,VIP,Main Power,Cairo West,October,Silver
10392,LTE,0544UP,U_S_0544UP_MVNPK-MDIA-CTY,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10628,LTE,0577UP,U_S_0577UP_AMANCO,Huawei,S,Normal,Main Power,Cairo West,October,Golden
10627,LTE,0510UP,U_S_0510UP_MOGAMA-MOBARAK,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10753,LTE,0916UP,U_C_0916UP_6OCT-ASHGAR-2,Huawei,C,VIP,Main Power,Cairo West,October,Silver
10846,LTE,0823UP,U_S_0823UP_6OCT-ORAS-1,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
